game,series_id,year,sheet,event,series,team,map,round,is_offense,win_round,plant,earned_fb,cumu_w,cumu_l,pre_cumu_w,pre_cumu_l,max_cumu_w,starts_as_offense,win_series,is_offense_last_round,n_rounds
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),4,FALSE,FALSE,B,FALSE,2,2,2,1,5,TRUE,FALSE,FALSE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),5,FALSE,TRUE,NA,TRUE,3,2,2,2,6,FALSE,TRUE,TRUE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),5,TRUE,FALSE,NA,FALSE,2,3,2,2,5,TRUE,FALSE,FALSE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),6,TRUE,TRUE,A,FALSE,4,2,3,2,6,FALSE,TRUE,TRUE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),6,FALSE,FALSE,A,TRUE,2,4,2,3,5,TRUE,FALSE,FALSE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),7,FALSE,FALSE,A,FALSE,4,3,4,2,6,FALSE,TRUE,TRUE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),7,TRUE,TRUE,A,TRUE,3,4,2,4,5,TRUE,FALSE,FALSE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),8,TRUE,FALSE,NA,FALSE,4,4,4,3,6,FALSE,TRUE,TRUE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),8,FALSE,TRUE,NA,TRUE,4,4,3,4,5,TRUE,FALSE,FALSE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),9,FALSE,TRUE,B,TRUE,5,4,4,4,6,FALSE,TRUE,TRUE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),9,TRUE,FALSE,B,FALSE,4,5,4,4,5,TRUE,FALSE,FALSE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),10,TRUE,FALSE,NA,FALSE,5,5,5,4,6,FALSE,TRUE,TRUE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),10,FALSE,TRUE,NA,TRUE,5,5,4,5,5,TRUE,FALSE,FALSE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,OpTic,Berlin - Vanguard (2022),11,TRUE,TRUE,A,FALSE,6,5,5,5,6,FALSE,TRUE,TRUE,11
Vanguard (2022),6,2022,Champs,2022 - Champs,6,Ultra,Berlin - Vanguard (2022),11,FALSE,FALSE,A,TRUE,5,6,5,5,5,TRUE,FALSE,FALSE,11
Vanguard (2022),7,2022,Champs,2022 - Champs,7,FaZe,Tuscan - Vanguard (2022),1,FALSE,FALSE,B,FALSE,0,1,0,0,4,FALSE,FALSE,TRUE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,Subliners,Tuscan - Vanguard (2022),1,TRUE,TRUE,B,TRUE,1,0,0,0,6,TRUE,TRUE,FALSE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,FaZe,Tuscan - Vanguard (2022),2,TRUE,FALSE,B,FALSE,0,2,0,1,4,FALSE,FALSE,TRUE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,Subliners,Tuscan - Vanguard (2022),2,FALSE,TRUE,B,TRUE,2,0,1,0,6,TRUE,TRUE,FALSE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,FaZe,Tuscan - Vanguard (2022),3,FALSE,TRUE,NA,TRUE,1,2,0,2,4,FALSE,FALSE,TRUE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,Subliners,Tuscan - Vanguard (2022),3,TRUE,FALSE,NA,FALSE,2,1,2,0,6,TRUE,TRUE,FALSE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,FaZe,Tuscan - Vanguard (2022),4,TRUE,FALSE,NA,FALSE,1,3,1,2,4,FALSE,FALSE,TRUE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,Subliners,Tuscan - Vanguard (2022),4,FALSE,TRUE,NA,TRUE,3,1,2,1,6,TRUE,TRUE,FALSE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,FaZe,Tuscan - Vanguard (2022),5,FALSE,TRUE,NA,TRUE,2,3,1,3,4,FALSE,FALSE,TRUE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,Subliners,Tuscan - Vanguard (2022),5,TRUE,FALSE,NA,FALSE,3,2,3,1,6,TRUE,TRUE,FALSE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,FaZe,Tuscan - Vanguard (2022),6,TRUE,TRUE,NA,TRUE,3,3,2,3,4,FALSE,FALSE,TRUE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,Subliners,Tuscan - Vanguard (2022),6,FALSE,FALSE,NA,FALSE,3,3,3,2,6,TRUE,TRUE,FALSE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,FaZe,Tuscan - Vanguard (2022),7,FALSE,TRUE,A,TRUE,4,3,3,3,4,FALSE,FALSE,TRUE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,Subliners,Tuscan - Vanguard (2022),7,TRUE,FALSE,A,FALSE,3,4,3,3,6,TRUE,TRUE,FALSE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,FaZe,Tuscan - Vanguard (2022),8,TRUE,FALSE,B,TRUE,4,4,4,3,4,FALSE,FALSE,TRUE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,Subliners,Tuscan - Vanguard (2022),8,FALSE,TRUE,B,FALSE,4,4,3,4,6,TRUE,TRUE,FALSE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,FaZe,Tuscan - Vanguard (2022),9,FALSE,FALSE,A,FALSE,4,5,4,4,4,FALSE,FALSE,TRUE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,Subliners,Tuscan - Vanguard (2022),9,TRUE,TRUE,A,TRUE,5,4,4,4,6,TRUE,TRUE,FALSE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,FaZe,Tuscan - Vanguard (2022),10,TRUE,FALSE,NA,FALSE,4,6,4,5,4,FALSE,FALSE,TRUE,10
Vanguard (2022),7,2022,Champs,2022 - Champs,7,Subliners,Tuscan - Vanguard (2022),10,FALSE,TRUE,NA,TRUE,6,4,5,4,6,TRUE,TRUE,FALSE,10
Vanguard (2022),8,2022,Champs,2022 - Champs,8,FaZe,Berlin - Vanguard (2022),1,FALSE,TRUE,A,TRUE,1,0,0,0,6,FALSE,TRUE,TRUE,8
Vanguard (2022),8,2022,Champs,2022 - Champs,8,Subliners,Berlin - Vanguard (2022),1,TRUE,FALSE,A,FALSE,0,1,0,0,2,TRUE,FALSE,FALSE,8
